number,n,p,corr,method,beta,s1,s21,s22,s23,s24,s25,s3,no_predictors,vadd_method,v1_bias,v2_bias,v3_bias,v4_bias,v5_bias,v1_variance,v2_variance,v3_variance,v4_variance,v5_variance,mse
1,100,50,0.3,1,close,5,4,4,4,4,4,20,15,5,0.881376323832492,0.736745378683266,0.795977058277252,0.730875694972837,0.800043432315778,3.38396129670291,2.56644233491116,2.78291886433869,2.27785895497976,3.26894951757304,146.030642169433
1,100,50,0.3,1,close,5,4,4,4,4,4,20,16,5,0.84950692170735,0.71011114912817,0.808619577604498,0.687758745846084,0.764339977905912,3.27564919884279,2.4597146744193,2.711342774064,1.92754539498791,3.04573169065303,131.18816146583
1,100,50,0.3,1,close,5,4,4,4,4,4,20,17,5,0.820386534176293,0.659354897513851,0.781726969738693,0.66211795514465,0.700926807703477,2.94137282073915,2.14733367117442,2.72617400316873,1.81726325365885,2.45479633823583,119.243710703747
1,100,50,0.3,1,close,5,4,4,4,4,4,20,18,5,0.767738902818627,0.63519893463917,0.7642123093079,0.668827098195062,0.66424536036496,2.63927992303098,1.95158933457456,2.46845953204916,1.92903749417013,2.24289787949724,108.637335799331
1,100,50,0.3,1,close,5,4,4,4,4,4,20,19,5,0.703150069153989,0.617665204330415,0.754288186792113,0.606592275130577,0.659210470310706,2.30502178960514,1.83583856828781,2.36711403217907,1.64321336413456,2.1456551161034,99.9231276545619
1,100,50,0.3,1,close,5,4,4,4,4,4,20,20,5,0.674636365803773,0.584788200623331,0.706966548160859,0.602448217888594,0.592518336890897,2.34696109744981,1.56758491815844,2.09665905742268,1.61474924194061,1.75505799652686,91.5444462768227
1,100,50,0.3,1,close,5,4,4,4,4,4,20,21,5,0.636046515450645,0.553232344555014,0.665881014011955,0.597743487494369,0.56496012626507,2.22465361505002,1.46908527343747,1.86066948736589,1.65022721025484,1.67884474593849,84.1959839259137
1,100,50,0.3,1,close,5,4,4,4,4,4,20,22,5,0.603246681442616,0.545124534414606,0.678575122728495,0.604731681798209,0.550936884386564,2.01633399862054,1.46636421594711,2.13261822162713,1.78571782509898,1.64002014132384,76.5947891264615
1,100,50,0.3,1,close,5,4,4,4,4,4,20,23,5,0.577037363799349,0.485451240894022,0.693448773562049,0.570571132460103,0.515104928704401,1.778965701022,1.22686997050582,2.1132148757661,1.58609498894165,1.56764322989728,70.8985244101367
1,100,50,0.3,1,close,5,4,4,4,4,4,20,24,5,0.563238729135855,0.464189968024953,0.625157727939387,0.520585372751208,0.507332664846577,1.73431867130391,1.199240542779,1.84988362928789,1.44203316825249,1.47146652822604,65.174922914952
1,100,50,0.3,1,close,5,4,4,4,4,4,20,25,5,0.557230520244812,0.465757883508602,0.573533288431727,0.495178287015786,0.502681263731268,1.79700576337927,1.24857036695916,1.54332562770436,1.28339365851452,1.42741528440978,59.4113063619743
1,100,50,0.3,1,close,5,4,4,4,4,4,20,26,5,0.528752823553052,0.471844012304099,0.526800345257237,0.479631582357337,0.474890937298759,1.74538311293536,1.34167596278967,1.32953150455995,1.23439943069838,1.307061831022,53.6464065525931
1,100,50,0.3,1,close,5,4,4,4,4,4,20,27,5,0.505501714879624,0.435364247714393,0.515510540052813,0.451379314017108,0.44303180091238,1.63040224486597,1.29546298932611,1.38208618136839,1.1043328918687,1.17457989705729,48.5280484166835
1,100,50,0.3,1,close,5,4,4,4,4,4,20,28,5,0.493010778663912,0.417949084875092,0.49047437969112,0.433219725286331,0.427121546634322,1.43373723488182,1.21446428318738,1.30769994513548,1.04106715106844,1.09015615807419,44.306487387165
